category,categoryName,categoryKeywords
medical,의료,"医院,hospital,clinic,诊所,药店,pharmacy,急诊,体检,牙科,眼科,皮肤科,中医,内科,外科,儿科,妇科"
food,음식,"餐厅,饭店,restaurant,咖啡,cafe,小吃,美食,面包,蛋糕,火锅,烧烤,海鲜,面馆,饺子,拉面,炸鸡,披萨,汉堡,寿司,烤肉,串串,米线,粥,早餐,午餐,晚餐,宵夜"
service,서비스,"银行,bank,警察,police,公司,office,政府,邮局,派出所,交警,出入境,签证"
transport,교통,"车站,机场,airport,火车,train,bus,地铁,subway,出租车,taxi,高铁,动车,客运站,码头,渡轮,轮渡"
shopping,쇼핑,"超市,商场,mall,市场,购物,shopping,便利店,菜市场,批发,零售,专卖店"
residence,주거,"小区,公寓,apartment,住宅,房子,租房,买房,房产,物业"
entertainment,엔터테인먼트,"电影,cinema,KTV,歌厅,剧院,theater,游戏,娱乐,演唱会,音乐会,展览,网吧,游乐场,游乐园,迪士尼,欢乐谷"
sports,스포츠,"体育,运动,gym,健身,游泳,swimming,球场,公园,park,高尔夫,golf,游泳池,健身房,篮球场,足球场,网球场,羽毛球,乒乓球,瑜伽,跑步"
wellness,웰니스,"按摩,massage,spa,美容,美发,salon,养生,足疗,推拿,针灸,拔罐,汗蒸,桑拿"
accommodation,숙박,"酒店,hotel,宾馆,民宿,住宿,旅馆,客栈,度假村,青年旅社,公寓酒店"
tourism,관광,"景点,scenic,旅游,观光,古镇,古城,名胜,张家界,长城,故宫,天坛,颐和园,博物馆,风景区,山,湖,海,寺,庙,塔,陵,园,洞,瀑布,峡谷,草原,沙漠,雪山,温泉,世界遗产,5A景区,4A景区"
education,교육,"学校,school,幼儿园,小学,中学,高中,大学,培训,教育,老师,教授,学生,教室,操场,图书馆,食堂,班级,年级,学期,考试,作业,家长,放学,上学,高考,自习,宿舍,补习,学分,选课,论文,毕业,专业,社团,奖学金,留学"
